gas_price;gas_type;place_id
21.89;premium;10467
16.5;regular;10776
19.2;premium;10776
17.99;regular;10751
19.99;premium;10751
22.49;diesel;10751
21.59;premium;10674
19.75;regular;10674
21.89;diesel;10674
19.79;regular;10302
21.89;premium;10302
20.26;diesel;10302
22.53;regular;2975
23.66;premium;2975
23.18;diesel;2975
19.55;regular;10396
21.29;premium;10396
20.29;regular;10407
21.99;premium;10407
19.67;diesel;10407
21.39;regular;10620
23.37;premium;10620
22.76;diesel;10620
19.79;regular;10670
21.89;premium;10670
17.69;regular;10629
20.99;premium;10629
21.99;diesel;10629
20.69;regular;10741
21.89;diesel;10741
19.99;regular;10436
21.99;premium;10436
19.79;regular;10313
21.89;premium;10313
19.79;regular;10301
21.89;premium;10301
20.26;diesel;10301
20.99;regular;10304
22.5;diesel;10304
22.49;premium;10304
17.99;regular;2882
21.99;diesel;2882
19.99;premium;2882
20.98;regular;10318
22.6;premium;10318
23.55;premium;10476
23.2;diesel;10476
21.5;regular;10476
21.8;diesel;10558
21.8;premium;10558
20.14;regular;10558
21.99;regular;10266
23.3;diesel;10266
23.4;premium;10266
22.03;regular;10673
24.1;premium;10673
22.7;diesel;10673
21.58;regular;10261
22.46;premium;10261
22.42;diesel;10261
20.95;regular;10269
22.58;premium;10269
22.53;diesel;10269
22.49;regular;10543
24.99;premium;10543
22.69;diesel;10543
20.6;premium;10352
19.9;regular;10352
21.8;diesel;10352
19.79;regular;10644
21.89;premium;10644
21.89;diesel;10644
20.57;regular;2988
22.27;premium;2988
21.99;diesel;2988
20.65;regular;10739
24.19;premium;10739
22.69;diesel;10739
22;regular;10515
24.2;premium;10515
22.95;diesel;10515
23.25;premium;10772
22.55;diesel;10772
20.99;regular;10772
21.59;regular;10591
22.29;diesel;10591
24.19;premium;10591
21.7;regular;10622
23.99;premium;10622
22.45;diesel;10622
19.52;regular;10368
19.82;premium;10368
21.15;diesel;10368
21.7;regular;10503
23.7;premium;10503
18.89;diesel;10503
21.49;regular;10310
23.99;premium;10310
22.69;diesel;10310
20.76;regular;10524
22.45;diesel;10524
21.19;regular;10433
22.39;diesel;10433
16.45;regular;2907
20.43;regular;10688
22.59;premium;10688
22.34;diesel;10688
22.3;regular;10472
24.2;premium;10472
22.3;regular;10331
23.9;premium;10331
20.6;regular;10713
22.6;premium;10713
21.9;diesel;10713
23.36;regular;10777
23.99;premium;10777
24.45;diesel;10777
20.9;regular;10548
22.9;premium;10548
22.5;diesel;10548
22.72;premium;10557
21.68;diesel;10557
20.38;regular;10557
21.4;regular;10448
23.4;premium;10448
22.7;diesel;10448
20.55;regular;10497
21.88;premium;10497
21.55;diesel;10497
21.4;regular;10464
23.4;premium;10464
22.7;diesel;10464
22.5;regular;2872
24.2;premium;2872
24;diesel;2872
22.3;regular;10421
23.95;premium;10421
23.9;diesel;10421
20.4;regular;10485
23;premium;10485
21.75;diesel;10485
20.3;regular;10362
22.95;premium;10362
20.99;regular;10465
22.6;diesel;10465
22.5;premium;10465
20.17;regular;10657
22.26;premium;10657
20.17;regular;10765
22.26;premium;10765
21.89;diesel;10765
21.69;regular;10270
22.99;premium;10270
22.62;diesel;10270
20.14;regular;10550
22.28;premium;10550
21.91;diesel;10550
20.28;regular;10597
22.15;premium;10597
21.74;diesel;10597
21.8;regular;10532
23.1;premium;10532
22.8;diesel;10532
21.59;regular;3013
23.69;premium;3013
22.79;diesel;3013
20.12;regular;10700
22.19;premium;10700
21.86;diesel;10700
19.77;regular;10292
21.99;premium;10292
21.37;diesel;10292
21.91;regular;10534
23.3;premium;10534
22.7;diesel;10534
16.55;regular;10601
16.69;regular;10636
20.99;diesel;10636
21.79;premium;10636
20.59;regular;10277
22.2;premium;10277
22.49;diesel;10277
16.31;regular;10755
18.01;premium;10755
17.06;diesel;10755
21.19;regular;10612
22.99;diesel;10612
20.64;regular;10298
22.84;premium;10298
20.4;diesel;10298
20.64;regular;10508
22.84;premium;10508
21.59;regular;2892
23.1;premium;2892
22.87;diesel;2892
20.64;regular;10454
22.84;premium;10454
18.39;diesel;10454
20.64;regular;10579
22.84;premium;10579
21.39;regular;10571
23.39;premium;10571
22.65;diesel;10571
20.59;regular;10668
22.48;diesel;10668
22.56;premium;10668
23.19;diesel;10522
21.59;regular;10522
24.59;premium;10522
20.51;regular;10551
22.23;diesel;10551
21.95;premium;10551
20.66;regular;10348
22.43;diesel;10348
22.62;premium;10348
21.89;regular;10707
23.09;premium;10707
22.8;regular;10679
24.5;premium;10679
22.75;regular;10562
24.73;diesel;10562
24.38;premium;2928
22.6;regular;2928
23.99;diesel;2928
21.65;regular;10787
23.54;premium;10787
22.7;diesel;10787
22.23;regular;10440
23.78;premium;10440
22.49;diesel;10440
20.81;regular;10733
22.72;premium;10733
22.41;diesel;10733
21.49;regular;10705
22.89;premium;10705
22.59;diesel;10705
20.65;regular;10633
21.7;diesel;10633
22.62;premium;10633
18.87;premium;10760
16.64;regular;10760
20.72;regular;10285
22.99;premium;10285
21.39;regular;10734
24.59;premium;10734
22.59;diesel;10734
20.42;regular;10616
21.78;premium;10616
21.6;diesel;10616
22.5;regular;10264
24.4;premium;10264
21.15;regular;3042
22.64;premium;3042
21.64;diesel;3042
21.69;diesel;10416
20.99;regular;10416
24.39;premium;10416
20.7;regular;10712
21.9;premium;10276
20.59;regular;10276
22.99;diesel;10276
